,id,texts,neg,neu,pos,compound
95,1380151052004163593,Electric-Vehicle Shift Becomes Life-or-Death Risk for Automakers https://t.co/jdPCa49BAa #trademoneta #stockmarket https://t.co/hyfgjkDlok,0.174,0.826,0.0,-0.2732
96,1380150972698124289,"Credit Fair offers 0% EMI on Home Renovation, Electric Vehicle Purchase, Education and Medical Loans. Be smart, Choose Credit Fair!! 

Download the app now!!
https://t.co/mBlKg2vz2z

#financeapp #finance #moneygram #nocostemi #instagood #instantapproval #instadaily #daily https://t.co/T9rK4y3CeO",0.0,0.68,0.32,0.913
97,1380150939500306438,"RT @gaspardmpondo: Ce TUK TUK électrique solaire écologique s'appelle BEKALARA. Homologué en FRANCE, je l'ai fait venir pour mes moments de…",0.0,1.0,0.0,0.0
98,1380150872974458885,"RT @pluginadventure: I am really excited to finally announce my next expedition. 
To be the worlds first person to drive from Pole to Pole,…",0.0,0.891,0.109,0.4005
99,1380150849775763463,"RT @pluginadventure: I am really excited to finally announce my next expedition. 
To be the worlds first person to drive from Pole to Pole,…",0.0,0.891,0.109,0.4005
100,1380150844092452870,RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…,0.042,0.79,0.168,0.5682
101,1380150643185176576,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
102,1380150541364424704,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
103,1380150537773969409,"Are you listening, @Honda @HondaCanada? Launch the Honda E in Canada! 🇨🇦 🌎

Electric vehicles selling in record numbers in B.C., province says https://t.co/nWBQ2Fx23b https://t.co/dShLYDE1yQ",0.0,1.0,0.0,0.0
104,1380150526336102403,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
105,1380150331145908228,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
106,1380150320362356743,"$ISUZY While everyone is focused on the big names in electric vehicles, investors may be missing out on an under t… https://t.co/FVTryijP06",0.089,0.806,0.105,0.1027
107,1380150317984194562,"279 million ICE vehicles are on roads in the US and new ones are expected to still outsell EVs 4:1 in 2030.  Add an average vehicle life of 11.8 years and we will need #renewable and #biofuels for a long time...
https://t.co/h9Hv8wCvuY",0.0,1.0,0.0,0.0
108,1380150302897225728,"FG set to commission first Electric-Vehicle charging station, two months after unveiling first EV...
https://t.co/kJfBmPdDY0",0.0,1.0,0.0,0.0
109,1380150235746480132,RT @CampanaleMark: Electric Vehicle Sales Promise Shock for Big Oil.  If motor manufacturers are right about the prospects for electric veh…,0.104,0.717,0.179,0.2263
